Date,Visitor,G,Home,G,,Att.,LOG,Notes
2013-03-09,Minnesota Wild,2,Nashville Predators,1,SO,"17,113",,
2013-03-09,Washington Capitals,2,New York Islanders,5,,"14,819",,
2013-03-09,Dallas Stars,1,Phoenix Coyotes,2,,"15,842",,
2013-03-09,St. Louis Blues,4,San Jose Sharks,3,OT,"17,562",,
2013-03-09,Montreal Canadiens,4,Tampa Bay Lightning,3,,"19,204",,
2013-03-09,Pittsburgh Penguins,5,Toronto Maple Leafs,4,SO,"19,418",,
2013-03-10,St. Louis Blues,2,Anaheim Ducks,4,,"17,174",,
2013-03-10,Edmonton Oilers,6,Chicago Blackhawks,5,,"22,020",,
2013-03-10,San Jose Sharks,2,Colorado Avalanche,3,OT,"16,040",,
2013-03-10,Columbus Blue Jackets,3,Detroit Red Wings,2,SO,"20,066",,
2013-03-10,Montreal Canadiens,5,Florida Panthers,2,,"19,189",,
2013-03-10,Vancouver Canucks,2,Minnesota Wild,4,,"18,846",,
2013-03-10,Winnipeg Jets,2,New Jersey Devils,3,SO,"17,625",,
2013-03-10,Buffalo Sabres,2,Philadelphia Flyers,3,,"19,687",,
2013-03-10,New York Islanders,1,Pittsburgh Penguins,6,,"18,634",,
2013-03-10,New York Rangers,4,Washington Capitals,1,,"18,506",,
2013-03-11,Calgary Flames,1,Los Angeles Kings,3,,"18,118",,
2013-03-11,Boston Bruins,3,Ottawa Senators,2,SO,"20,256",,
2013-03-12,New York Rangers,1,Buffalo Sabres,3,,"19,070",,
2013-03-12,Vancouver Canucks,2,Columbus Blue Jackets,1,SO,"14,852",,
2013-03-12,Edmonton Oilers,4,Colorado Avalanche,0,,"14,360",,
2013-03-12,Nashville Predators,4,Dallas Stars,0,,"15,661",,
2013-03-12,Tampa Bay Lightning,3,Florida Panthers,2,,"15,174",,
2013-03-12,Anaheim Ducks,2,Minnesota Wild,1,,"18,808",,
2013-03-12,Los Angeles Kings,2,Phoenix Coyotes,5,,"15,075",,
2013-03-12,Boston Bruins,2,Pittsburgh Penguins,3,,"18,640",,
2013-03-12,San Jose Sharks,2,St. Louis Blues,4,,"16,583",,
2013-03-12,Toronto Maple Leafs,2,Winnipeg Jets,5,,"15,004",,
2013-03-12,Carolina Hurricanes,4,Washington Capitals,0,,"18,506",,
2013-03-13,Detroit Red Wings,2,Calgary Flames,5,,"19,289",,
2013-03-13,Ottawa Senators,3,Montreal Canadiens,4,SO,"21,273",,
2013-03-13,Philadelphia Flyers,2,New Jersey Devils,5,,"17,625",,
2013-03-14,Florida Panthers,1,Boston Bruins,4,,"17,565",,
2013-03-14,Washington Capitals,3,Carolina Hurricanes,2,,"16,810",,
2013-03-14,Chicago Blackhawks,2,Columbus Blue Jackets,1,SO,"15,009",,
2013-03-14,Anaheim Ducks,2,Dallas Stars,1,SO,"15,775",,
2013-03-14,Colorado Avalanche,3,Minnesota Wild,5,,"18,989",,
2013-03-14,Los Angeles Kings,3,San Jose Sharks,4,,"17,562",,
2013-03-14,Phoenix Coyotes,0,St. Louis Blues,3,,"17,852",,
2013-03-14,New York Islanders,2,Tampa Bay Lightning,0,,"19,204",,
2013-03-14,Pittsburgh Penguins,3,Toronto Maple Leafs,1,,"19,561",,
2013-03-14,Nashville Predators,4,Vancouver Canucks,7,,"18,910",,
2013-03-14,New York Rangers,1,Winnipeg Jets,3,,"15,004",,
2013-03-15,Nashville Predators,3,Calgary Flames,6,,"19,289",,
2013-03-15,Detroit Red Wings,3,Edmonton Oilers,2,OT,"16,839",,
2013-03-15,New Jersey Devils,1,Philadelphia Flyers,2,SO,"19,971",,
2013-03-16,Washington Capitals,1,Boston Bruins,4,,"17,565",,
2013-03-16,Ottawa Senators,4,Buffalo Sabres,3,OT,"19,070",,
2013-03-16,Phoenix Coyotes,0,Columbus Blue Jackets,1,SO,"14,231",,
2013-03-16,Minnesota Wild,6,Colorado Avalanche,4,,"17,708",,
2013-03-16,Chicago Blackhawks,8,Dallas Stars,1,,"18,584",,
2013-03-16,New York Islanders,4,Florida Panthers,3,,"17,627",,
2013-03-16,San Jose Sharks,2,Los Angeles Kings,5,,"18,118",,
2013-03-16,Montreal Canadiens,2,New Jersey Devils,1,,"17,625",,
2013-03-16,New York Rangers,0,Pittsburgh Penguins,3,,"18,658",,
2013-03-16,Anaheim Ducks,1,St. Louis Blues,2,OT,"19,593",,
2013-03-16,Carolina Hurricanes,1,Tampa Bay Lightning,4,,"19,204",,
2013-03-16,Winnipeg Jets,5,Toronto Maple Leafs,4,SO,"19,401",,
2013-03-16,Detroit Red Wings,5,Vancouver Canucks,2,,"18,910",,
2013-03-17,Nashville Predators,2,Edmonton Oilers,3,,"16,839",,
2013-03-17,Winnipeg Jets,1,Ottawa Senators,4,,"19,227",,
2013-03-17,Boston Bruins,1,Pittsburgh Penguins,2,,"18,659",,
2013-03-17,Buffalo Sabres,3,Washington Capitals,5,,"18,506",,
2013-03-18,San Jose Sharks,3,Anaheim Ducks,5,,"14,441",,
2013-03-18,Chicago Blackhawks,5,Colorado Avalanche,2,,"16,952",,
2013-03-18,Calgary Flames,3,Dallas Stars,4,,"16,057",,
2013-03-18,Phoenix Coyotes,0,Los Angeles Kings,4,,"18,118",,
2013-03-18,Carolina Hurricanes,1,New York Rangers,2,SO,"17,200",,
2013-03-18,Philadelphia Flyers,2,Tampa Bay Lightning,4,,"19,204",,
2013-03-18,Minnesota Wild,3,Vancouver Canucks,1,,"18,910",,
2013-03-19,Florida Panthers,4,Carolina Hurricanes,1,,"16,349",,
2013-03-19,Nashville Predators,3,Columbus Blue Jackets,4,,"13,364",,
2013-03-19,Phoenix Coyotes,2,Los Angeles Kings,3,,"18,118",,
2013-03-19,Buffalo Sabres,3,Montreal Canadiens,2,OT,"21,273",,
2013-03-19,New York Rangers,3,New Jersey Devils,2,,"17,625",,
2013-03-19,Ottawa Senators,5,New York Islanders,3,,"10,668",,
2013-03-19,Washington Capitals,1,Pittsburgh Penguins,2,,"18,653",,
2013-03-19,St. Louis Blues,2,Vancouver Canucks,3,,"18,910",,
2013-03-19,Boston Bruins,1,Winnipeg Jets,3,,"15,004",,
2013-03-20,Chicago Blackhawks,2,Anaheim Ducks,4,,"17,610",,
2013-03-20,Dallas Stars,3,Colorado Avalanche,4,,"13,813",,
2013-03-20,Minnesota Wild,4,Detroit Red Wings,2,,"20,066",,
2013-03-20,San Jose Sharks,4,Edmonton Oilers,3,SO,"16,839",,
2013-03-20,Tampa Bay Lightning,2,Toronto Maple Leafs,4,,"19,433",,
2013-03-21,Toronto Maple Leafs,4,Buffalo Sabres,5,SO,"19,070",,
2013-03-21,New Jersey Devils,4,Carolina Hurricanes,1,,"16,941",,
2013-03-21,Dallas Stars,2,Los Angeles Kings,0,,"18,118",,
2013-03-21,Calgary Flames,3,Nashville Predators,5,,"17,113",,
2013-03-21,Montreal Canadiens,5,New York Islanders,2,,"11,012",,
2013-03-21,Florida Panthers,3,New York Rangers,1,,"17,200",,
2013-03-21,Boston Bruins,2,Ottawa Senators,1,,"19,603",,
2013-03-21,Vancouver Canucks,2,Phoenix Coyotes,1,,"17,220",,
2013-03-21,Washington Capitals,4,Winnipeg Jets,0,,"15,004",,
2013-03-22,Detroit Red Wings,5,Anaheim Ducks,1,,"17,174",,
2013-03-22,Calgary Flames,1,Columbus Blue Jackets,5,,"13,853",,
2013-03-22,Pittsburgh Penguins,4,New York Islanders,2,,"14,888",,
2013-03-22,Washington Capitals,6,Winnipeg Jets,1,,"15,004",,
2013-03-23,Colorado Avalanche,2,Dallas Stars,5,,"17,311",,
2013-03-23,St. Louis Blues,3,Edmonton Oilers,0,,"16,839",,
2013-03-23,Vancouver Canucks,1,Los Angeles Kings,0,,"18,118",,
2013-03-23,San Jose Sharks,0,Minnesota Wild,2,,"19,358",,
2013-03-23,Buffalo Sabres,2,Montreal Canadiens,1,,"21,273",,
2013-03-23,Florida Panthers,1,New Jersey Devils,2,,"17,625",,
2013-03-23,Columbus Blue Jackets,2,Nashville Predators,5,,"17,113",,
2013-03-23,Tampa Bay Lightning,3,Ottawa Senators,5,,"20,016",,
2013-03-23,Boston Bruins,2,Toronto Maple Leafs,3,,"19,236",,
2013-03-24,Detroit Red Wings,2,Anaheim Ducks,1,,"17,427",,
2013-03-24,St. Louis Blues,2,Calgary Flames,3,,"19,289",,
2013-03-24,Vancouver Canucks,3,Colorado Avalanche,2,,"15,194",,
2013-03-24,Florida Panthers,0,New York Islanders,3,,"14,512",,
2013-03-24,Washington Capitals,3,New York Rangers,2,SO,"17,200",,
2013-03-24,Philadelphia Flyers,1,Pittsburgh Penguins,2,OT,"18,662",,
2013-03-24,Tampa Bay Lightning,2,Winnipeg Jets,3,,"15,004",,
2013-03-25,San Jose Sharks,5,Anaheim Ducks,3,,"16,083",,
2013-03-25,Toronto Maple Leafs,2,Boston Bruins,3,SO,"17,565",,
2013-03-25,Los Angeles Kings,5,Chicago Blackhawks,4,,"21,850",,
2013-03-25,Minnesota Wild,7,Dallas Stars,4,,"16,167",,
2013-03-25,Edmonton Oilers,2,Nashville Predators,3,,"17,113",,
2013-03-25,New Jersey Devils,2,Ottawa Senators,3,SO,"18,902",,
2013-03-25,Detroit Red Wings,3,Phoenix Coyotes,2,,"17,428",,
2013-03-26,Winnipeg Jets,4,Carolina Hurricanes,1,,"16,225",,
2013-03-26,Calgary Flames,0,Chicago Blackhawks,2,,"21,790",,
2013-03-26,New York Rangers,5,Philadelphia Flyers,2,,"19,961",,
2013-03-26,Montreal Canadiens,0,Pittsburgh Penguins,1,,"18,646",,
2013-03-26,Edmonton Oilers,3,St. Louis Blues,0,,"17,260",,
2013-03-26,Buffalo Sabres,1,Tampa Bay Lightning,2,,"19,204",,
2013-03-26,Florida Panthers,2,Toronto Maple Leafs,3,,"19,379",,
2013-03-26,Columbus Blue Jackets,0,Vancouver Canucks,1,SO,"18,910",,
2013-03-26,New York Islanders,3,Washington Capitals,2,,"18,506",,
2013-03-27,Montreal Canadiens,6,Boston Bruins,5,SO,"17,565",,
2013-03-27,Colorado Avalanche,3,Calgary Flames,4,,"19,289",,
2013-03-27,Phoenix Coyotes,3,Minnesota Wild,4,OT,"19,076",,
2013-03-27,Anaheim Ducks,0,San Jose Sharks,4,,"17,562",,
2013-03-28,Columbus Blue Jackets,4,Edmonton Oilers,6,,"16,839",,
2013-03-28,Buffalo Sabres,4,Florida Panthers,5,SO,"17,044",,
2013-03-28,Phoenix Coyotes,7,Nashville Predators,4,,"17,113",,
2013-03-28,New York Rangers,0,Ottawa Senators,3,,"19,447",,
2013-03-28,New York Islanders,4,Philadelphia Flyers,3,SO,"19,906",,
2013-03-28,Winnipeg Jets,0,Pittsburgh Penguins,4,,"18,649",,
2013-03-28,Detroit Red Wings,0,San Jose Sharks,2,,"17,562",,
2013-03-28,Los Angeles Kings,4,St. Louis Blues,2,,"19,770",,
2013-03-28,Carolina Hurricanes,3,Toronto Maple Leafs,6,,"19,236",,
2013-03-28,Colorado Avalanche,1,Vancouver Canucks,4,,"18,910",,
2013-03-29,Columbus Blue Jackets,6,Calgary Flames,4,,"19,289",,
2013-03-29,Anaheim Ducks,2,Chicago Blackhawks,1,,"22,105",,
2013-03-29,Minnesota Wild,3,Dallas Stars,5,,"17,376",,
2013-03-29,New Jersey Devils,4,Tampa Bay Lightning,5,SO,"19,204",,
2013-03-30,Washington Capitals,4,Buffalo Sabres,3,SO,"19,070",,
2013-03-30,Nashville Predators,0,Colorado Avalanche,1,OT,"15,324",,
2013-03-30,Vancouver Canucks,0,Edmonton Oilers,4,,"16,839",,
2013-03-30,New Jersey Devils,2,Florida Panthers,3,OT,"18,138",,
2013-03-30,Los Angeles Kings,3,Minnesota Wild,4,SO,"19,223",,
2013-03-30,New York Rangers,0,Montreal Canadiens,3,,"21,273",,
2013-03-30,Toronto Maple Leafs,4,Ottawa Senators,0,,"20,183",,
2013-03-30,Boston Bruins,1,Philadelphia Flyers,3,,"19,997",,
2013-03-30,New York Islanders,0,Pittsburgh Penguins,2,,"18,673",,
2013-03-30,Phoenix Coyotes,2,San Jose Sharks,3,SO,"17,562",,
2013-03-30,Carolina Hurricanes,3,Winnipeg Jets,1,,"15,004",,
2013-03-31,Boston Bruins,2,Buffalo Sabres,0,,"19,027",,
2013-03-31,Anaheim Ducks,1,Columbus Blue Jackets,2,OT,"13,185",,
2013-03-31,Los Angeles Kings,3,Dallas Stars,2,,"15,719",,
2013-03-31,Chicago Blackhawks,7,Detroit Red Wings,1,,"20,066",,
2013-03-31,Washington Capitals,4,Philadelphia Flyers,5,OT,"19,681",,
2013-04-01,Nashville Predators,2,Chicago Blackhawks,3,SO,"21,306",,
2013-04-01,Anaheim Ducks,4,Dallas Stars,0,,"13,748",,
2013-04-01,Colorado Avalanche,2,Detroit Red Wings,3,,"20,066",,
2013-04-01,Calgary Flames,1,Edmonton Oilers,4,,"16,839",,
2013-04-01,St. Louis Blues,4,Minnesota Wild,1,,"18,786",,
2013-04-01,Carolina Hurricanes,1,Montreal Canadiens,4,,"21,273",,
2013-04-01,New York Islanders,3,New Jersey Devils,1,,"17,625",,
2013-04-01,Winnipeg Jets,2,New York Rangers,4,,"17,200",,
2013-04-01,Vancouver Canucks,2,San Jose Sharks,3,,"17,562",,
2013-04-02,Ottawa Senators,2,Boston Bruins,3,,"17,565",,
2013-04-02,Washington Capitals,5,Carolina Hurricanes,3,,"16,530",,
2013-04-02,Colorado Avalanche,1,Nashville Predators,3,,"16,211",,
2013-04-02,Winnipeg Jets,2,New York Islanders,5,,"11,819",,
2013-04-02,Los Angeles Kings,1,Phoenix Coyotes,3,,"12,934",,
2013-04-02,Buffalo Sabres,4,Pittsburgh Penguins,1,,"18,642",,
2013-04-02,Florida Panthers,3,Tampa Bay Lightning,2,SO,"17,904",,
2013-04-03,Dallas Stars,2,Anaheim Ducks,5,,"15,165",,
2013-04-03,Edmonton Oilers,8,Calgary Flames,2,,"19,289",,
2013-04-03,Pittsburgh Penguins,1,New York Rangers,6,,"17,200",,
2013-04-03,Montreal Canadiens,3,Philadelphia Flyers,5,,"19,882",,
2013-04-03,Minnesota Wild,2,San Jose Sharks,4,,"17,562",,
2013-04-04,New Jersey Devils,0,Boston Bruins,1,,"17,565",,
2013-04-04,Tampa Bay Lightning,5,Carolina Hurricanes,0,,"17,042",,
2013-04-04,St. Louis Blues,4,Chicago Blackhawks,3,SO,"22,081",,
2013-04-04,Minnesota Wild,0,Los Angeles Kings,3,,"18,118",,
2013-04-04,Winnipeg Jets,1,Montreal Canadiens,4,,"21,273",,
2013-04-04,Columbus Blue Jackets,3,Nashville Predators,1,,"17,113",,
2013-04-04,Detroit Red Wings,2,Phoenix Coyotes,4,,"16,623",,
2013-04-04,Philadelphia Flyers,5,Toronto Maple Leafs,3,,"19,619",,
2013-04-04,Edmonton Oilers,0,Vancouver Canucks,4,,"18,910",,
2013-04-04,New York Islanders,1,Washington Capitals,2,SO,"18,506",,
2013-04-05,Dallas Stars,3,Anaheim Ducks,1,,"16,884",,
2013-04-05,Ottawa Senators,2,Buffalo Sabres,4,,"18,811",,
2013-04-05,Detroit Red Wings,3,Colorado Avalanche,2,OT,"18,007",,
2013-04-05,New York Rangers,1,Pittsburgh Penguins,2,SO,"18,659",,
2013-04-05,Calgary Flames,1,San Jose Sharks,2,,"17,562",,
2013-04-05,Columbus Blue Jackets,1,St. Louis Blues,3,,"19,224",,
2013-04-06,New York Rangers,4,Carolina Hurricanes,1,,"17,457",,
2013-04-06,Washington Capitals,4,Florida Panthers,3,,"16,886",,
2013-04-06,Edmonton Oilers,1,Los Angeles Kings,4,,"18,118",,
2013-04-06,Boston Bruins,1,Montreal Canadiens,2,,"21,273",,
2013-04-06,Toronto Maple Leafs,2,New Jersey Devils,1,,"17,625",,
2013-04-06,Chicago Blackhawks,1,Nashville Predators,0,,"17,256",,
2013-04-06,Tampa Bay Lightning,2,New York Islanders,4,,"16,170",,
2013-04-06,Colorado Avalanche,0,Phoenix Coyotes,4,,"16,648",,
2013-04-06,Calgary Flames,2,Vancouver Canucks,5,,"18,910",,
2013-04-06,Philadelphia Flyers,1,Winnipeg Jets,4,,"15,004",,
2013-04-07,Los Angeles Kings,3,Anaheim Ducks,4,SO,"17,494",,
2013-04-07,New Jersey Devils,2,Buffalo Sabres,3,SO,"18,703",,
2013-04-07,Minnesota Wild,3,Columbus Blue Jackets,0,,"15,909",,
2013-04-07,Nashville Predators,3,Chicago Blackhawks,5,,"22,044",,
2013-04-07,St. Louis Blues,1,Detroit Red Wings,0,,"20,066",,
2013-04-07,Ottawa Senators,1,Florida Panthers,2,,"15,552",,
2013-04-07,Dallas Stars,5,San Jose Sharks,4,SO,"17,562",,
2013-04-07,Tampa Bay Lightning,2,Washington Capitals,4,,"18,506",,
2013-04-08,Edmonton Oilers,1,Anaheim Ducks,2,,"15,148",,
2013-04-08,Carolina Hurricanes,2,Boston Bruins,6,,"17,565",,
2013-04-08,Calgary Flames,3,Colorado Avalanche,1,,"13,444",,
2013-04-08,New York Rangers,3,Toronto Maple Leafs,4,,"19,437",,
2013-04-08,Phoenix Coyotes,0,Vancouver Canucks,2,,"18,910",,
2013-04-09,Pittsburgh Penguins,5,Carolina Hurricanes,3,,"17,168",,
2013-04-09,San Jose Sharks,0,Columbus Blue Jackets,4,,"17,771",,
2013-04-09,Los Angeles Kings,1,Dallas Stars,5,,"16,367",,
2013-04-09,Chicago Blackhawks,1,Minnesota Wild,0,,"19,158",,
2013-04-09,Washington Capitals,3,Montreal Canadiens,2,,"21,273",,
2013-04-09,St. Louis Blues,1,Nashville Predators,0,,"15,063",,
2013-04-09,Philadelphia Flyers,1,New York Islanders,4,,"13,888",,
2013-04-09,Ottawa Senators,2,Tampa Bay Lightning,3,,"17,323",,
2013-04-09,Buffalo Sabres,1,Winnipeg Jets,4,,"15,004",,
2013-04-10,Colorado Avalanche,4,Anaheim Ducks,1,,"14,646",,
2013-04-10,Vancouver Canucks,4,Calgary Flames,1,,"19,289",,
2013-04-10,Phoenix Coyotes,3,Edmonton Oilers,1,,"16,839",,
2013-04-10,Boston Bruins,5,New Jersey Devils,4,,"17,625",,
2013-04-10,Toronto Maple Leafs,2,New York Rangers,3,SO,"17,200",,
2013-04-11,New York Islanders,2,Boston Bruins,1,,"17,565",,
2013-04-11,Montreal Canadiens,5,Buffalo Sabres,1,,"19,070",,
2013-04-11,San Jose Sharks,3,Detroit Red Wings,2,SO,"20,066",,
2013-04-11,Colorado Avalanche,2,Los Angeles Kings,3,SO,"18,118",,
2013-04-11,St. Louis Blues,2,Minnesota Wild,0,,"18,947",,
2013-04-11,Ottawa Senators,3,Philadelphia Flyers,1,,"19,598",,
2013-04-11,Pittsburgh Penguins,6,Tampa Bay Lightning,3,,"19,204",,
2013-04-11,Florida Panthers,2,Winnipeg Jets,7,,"15,004",,
2013-04-11,Carolina Hurricanes,1,Washington Capitals,3,,"18,506",,
2013-04-12,St. Louis Blues,1,Columbus Blue Jackets,4,,"17,007",,
2013-04-12,Phoenix Coyotes,2,Calgary Flames,3,OT,"19,289",,
2013-04-12,Detroit Red Wings,2,Chicago Blackhawks,3,SO,"22,191",,
2013-04-12,Ottawa Senators,2,New Jersey Devils,0,,"16,099",,
2013-04-12,Dallas Stars,5,Nashville Predators,2,,"16,818",,
2013-04-13,Philadelphia Flyers,0,Buffalo Sabres,1,,"19,070",,
2013-04-13,Boston Bruins,2,Carolina Hurricanes,4,,"18,680",,
2013-04-13,Vancouver Canucks,3,Colorado Avalanche,4,,"15,229",,
2013-04-13,San Jose Sharks,1,Dallas Stars,2,,"18,007",,
2013-04-13,Calgary Flames,4,Edmonton Oilers,1,,"16,839",,
2013-04-13,Pittsburgh Penguins,3,Florida Panthers,1,,"18,891",,
2013-04-13,Anaheim Ducks,1,Los Angeles Kings,2,,"18,473",,
2013-04-13,Columbus Blue Jackets,3,Minnesota Wild,2,SO,"19,187",,
2013-04-13,New York Rangers,1,New York Islanders,0,OT,"16,170",,
2013-04-13,Montreal Canadiens,1,Toronto Maple Leafs,5,,"19,651",,
2013-04-13,Tampa Bay Lightning,5,Washington Capitals,6,OT,"18,506",,
2013-04-14,Tampa Bay Lightning,1,Buffalo Sabres,3,,"18,991",,
2013-04-14,Detroit Red Wings,3,Nashville Predators,0,,"17,113",,
2013-04-14,Chicago Blackhawks,2,St. Louis Blues,0,,"19,385",,
2013-04-15,Minnesota Wild,4,Calgary Flames,3,,"19,289",,
2013-04-15,Dallas Stars,2,Chicago Blackhawks,5,,"21,986",,
2013-04-15,Columbus Blue Jackets,4,Colorado Avalanche,3,OT,"13,694",,
2013-04-15,Philadelphia Flyers,7,Montreal Canadiens,3,,"21,273",,
2013-04-15,Vancouver Canucks,5,Nashville Predators,2,,"16,518",,
2013-04-15,San Jose Sharks,4,Phoenix Coyotes,0,,"13,094",,
2013-04-15,New Jersey Devils,0,Toronto Maple Leafs,2,,"19,425",,
2013-04-16,Minnesota Wild,5,Edmonton Oilers,3,,"16,839",,
2013-04-16,Florida Panthers,2,New York Islanders,5,,"15,922",,
2013-04-16,Carolina Hurricanes,2,Ottawa Senators,3,,"19,181",,
2013-04-16,New York Rangers,2,Philadelphia Flyers,4,,"19,706",,
2013-04-16,Los Angeles Kings,2,San Jose Sharks,3,SO,"17,562",,
2013-04-16,Vancouver Canucks,1,St. Louis Blues,2,SO,"17,709",,
2013-04-16,Tampa Bay Lightning,3,Winnipeg Jets,4,SO,"15,004",,
2013-04-16,Toronto Maple Leafs,1,Washington Capitals,5,,"18,506",,
2013-04-17,Columbus Blue Jackets,3,Anaheim Ducks,2,OT,"15,074",,
2013-04-17,Buffalo Sabres,3,Boston Bruins,2,SO,"17,565",,
2013-04-17,Detroit Red Wings,2,Calgary Flames,3,,"19,289",,
2013-04-17,Montreal Canadiens,4,Pittsburgh Penguins,6,,"18,626",,
2013-04-18,Vancouver Canucks,1,Dallas Stars,5,,"16,571",,
2013-04-18,Columbus Blue Jackets,1,Los Angeles Kings,2,,"18,118",,
2013-04-18,Tampa Bay Lightning,2,Montreal Canadiens,3,,"21,273",,
2013-04-18,Florida Panthers,1,New York Rangers,6,,"17,200",,
2013-04-18,Washington Capitals,1,Ottawa Senators,3,,"19,965",,
2013-04-18,New Jersey Devils,3,Philadelphia Flyers,0,,"19,727",,
2013-04-18,Minnesota Wild,1,San Jose Sharks,6,,"17,562",,
2013-04-18,Phoenix Coyotes,1,St. Louis Blues,2,SO,"17,205",,
2013-04-18,New York Islanders,5,Toronto Maple Leafs,3,,"19,676",,
2013-04-18,Carolina Hurricanes,3,Winnipeg Jets,4,OT,"15,004",,
2013-04-19,New York Rangers,8,Buffalo Sabres,4,,"19,003",,
2013-04-19,Anaheim Ducks,1,Calgary Flames,3,,"19,289",,
2013-04-19,Nashville Predators,4,Chicago Blackhawks,5,OT,"22,014",,
2013-04-19,Edmonton Oilers,4,Colorado Avalanche,1,,"15,890",,
2013-04-19,Dallas Stars,1,St. Louis Blues,2,,"19,328",,
2013-04-20,Pittsburgh Penguins,3,Boston Bruins,2,,"17,565",,
2013-04-20,Philadelphia Flyers,5,Carolina Hurricanes,3,,"18,112",,
2013-04-20,Phoenix Coyotes,3,Chicago Blackhawks,2,SO,"22,272",,
2013-04-20,Washington Capitals,5,Montreal Canadiens,1,,"21,273",,
2013-04-20,Florida Panthers,2,New Jersey Devils,6,,"16,018",,
2013-04-20,Toronto Maple Leafs,4,Ottawa Senators,1,,"20,500",,
2013-04-20,Detroit Red Wings,1,Vancouver Canucks,2,SO,"18,910",,
2013-04-20,New York Islanders,5,Winnipeg Jets,4,SO,"15,004",,
2013-04-21,Florida Panthers,0,Boston Bruins,3,,"17,565",,
2013-04-21,St. Louis Blues,3,Colorado Avalanche,5,,"14,606",,
2013-04-21,Anaheim Ducks,3,Edmonton Oilers,1,,"16,839",,
2013-04-21,Dallas Stars,3,Los Angeles Kings,4,OT,"18,118",,
2013-04-21,Calgary Flames,4,Minnesota Wild,1,,"19,039",,
2013-04-21,New Jersey Devils,1,New York Rangers,4,,"17,200",,
2013-04-21,Columbus Blue Jackets,4,San Jose Sharks,3,,"17,562",,
2013-04-21,Carolina Hurricanes,3,Tampa Bay Lightning,2,,"19,204",,
2013-04-22,Winnipeg Jets,2,Buffalo Sabres,1,,"18,654",,
2013-04-22,Phoenix Coyotes,0,Detroit Red Wings,4,,"20,066",,
2013-04-22,Anaheim Ducks,3,Edmonton Oilers,0,,"16,839",,
2013-04-22,Pittsburgh Penguins,3,Ottawa Senators,1,,"20,276",,
2013-04-22,Chicago Blackhawks,1,Vancouver Canucks,3,,"18,910",,
2013-04-23,New York Islanders,3,Carolina Hurricanes,4,SO,"16,601",,
2013-04-23,New York Rangers,2,Florida Panthers,3,,"17,758",,
2013-04-23,Los Angeles Kings,1,Minnesota Wild,2,,"18,825",,
2013-04-23,Montreal Canadiens,2,New Jersey Devils,3,,"15,219",,
2013-04-23,Calgary Flames,3,Nashville Predators,4,,"17,113",,
2013-04-23,Boston Bruins,2,Philadelphia Flyers,5,,"19,717",,
2013-04-23,Buffalo Sabres,4,Pittsburgh Penguins,2,,"18,630",,
2013-04-23,Dallas Stars,2,San Jose Sharks,3,,"17,562",,
2013-04-23,Colorado Avalanche,1,St. Louis Blues,3,,"15,427",,
2013-04-23,Winnipeg Jets,3,Washington Capitals,5,,"18,506",,
2013-04-24,Los Angeles Kings,1,Detroit Red Wings,3,,"20,066",,
2013-04-24,Chicago Blackhawks,4,Edmonton Oilers,1,,"16,839",,
2013-04-24,San Jose Sharks,1,Phoenix Coyotes,2,,"12,588",,
2013-04-24,Toronto Maple Leafs,2,Tampa Bay Lightning,5,,"18,826",,
2013-04-25,Tampa Bay Lightning,0,Boston Bruins,2,,"17,565",,
2013-04-25,New York Rangers,4,Carolina Hurricanes,3,OT,"17,172",,
2013-04-25,Columbus Blue Jackets,3,Dallas Stars,1,,"16,918",,
2013-04-25,Nashville Predators,2,Detroit Red Wings,5,,"20,066",,
2013-04-25,Toronto Maple Leafs,4,Florida Panthers,0,,"16,484",,
2013-04-25,Pittsburgh Penguins,2,New Jersey Devils,3,,"16,122",,
2013-04-25,New York Islanders,1,Philadelphia Flyers,2,,"19,798",,
2013-04-25,Calgary Flames,1,St. Louis Blues,4,,"15,302",,
2013-04-25,Anaheim Ducks,3,Vancouver Canucks,1,,"18,910",,
2013-04-25,Montreal Canadiens,4,Winnipeg Jets,2,,"15,004",,
2013-04-25,Ottawa Senators,2,Washington Capitals,1,OT,"18,506",,
2013-04-26,New York Islanders,1,Buffalo Sabres,2,SO,"19,070",,
2013-04-26,Calgary Flames,1,Chicago Blackhawks,3,,"22,048",,
2013-04-26,Edmonton Oilers,6,Minnesota Wild,1,,"19,090",,
2013-04-26,Colorado Avalanche,5,Phoenix Coyotes,4,SO,"16,011",,
2013-04-27,Phoenix Coyotes,5,Anaheim Ducks,3,,"17,442",,
2013-04-27,Nashville Predators,1,Columbus Blue Jackets,3,,"19,002",,
2013-04-27,Minnesota Wild,3,Colorado Avalanche,1,,"17,731",,
2013-04-27,Detroit Red Wings,3,Dallas Stars,0,,"18,532",,
2013-04-27,Vancouver Canucks,2,Edmonton Oilers,7,,"16,839",,
2013-04-27,San Jose Sharks,2,Los Angeles Kings,3,,"18,443",,
2013-04-27,New Jersey Devils,0,New York Rangers,4,,"17,200",,
2013-04-27,Philadelphia Flyers,2,Ottawa Senators,1,,"20,232",,
2013-04-27,Carolina Hurricanes,3,Pittsburgh Penguins,8,,"18,658",,
2013-04-27,Chicago Blackhawks,1,St. Louis Blues,3,,"19,841",,
2013-04-27,Florida Panthers,5,Tampa Bay Lightning,3,,"19,204",,
2013-04-27,Montreal Canadiens,4,Toronto Maple Leafs,1,,"19,730",,
